,instance_name,best_lower_bound,best_upper_bound
0,APL,7,7
1,APL-Model,8,8
2,BankingSoftware,28,29
3,BattleofTanks,256,353
4,ChatClient,7,7
5,DMIE,16,17
6,E-Shop,8,13
7,EMBToolkit,1741,1892
8,FameDB,8,8
9,FeatureIDE,7,8
10,FreeBSD-8_0_0,29,69
11,PPU,12,12
12,SafeBali,11,11
13,SortingLine,9,9
14,TightVNC,8,8
15,Violet,14,17
16,WaterlooGenerated,82,82
17,XSEngine,31,45
18,aaed2000,51,72
19,am31_sim,26,44
20,atlas_mips32_4kc,33,47
21,axTLS,10,11
22,berkeleyDB1,15,15
23,berkeleyDB2,11,12
24,busybox-1_18_0,12,19
25,busybox-1_29_2,18,26
26,busybox_2007-01-24_09-14-09,21,22
27,busybox_2020-12-16_21-53-05,16,24
28,calculate,5,5
29,car,5,5
30,dell,31,31
31,eCos-3-0_i386pc,33,57
32,ea2468,31,48
33,email,6,6
34,fiasco_2017-09-26_11-30-56,224,227
35,fiasco_2020-12-01_14-09-14,196,199
36,financial_services,4148,4388
37,fs_2017-05-22,396,396
38,gpl,16,16
39,integrator_arm7,32,47
40,lcm,6,6
41,soletta_2015-06-26_18-38-56,24,24
42,toybox_2006-10-31_23-30-06,8,8
43,toybox_2020-12-06_00-02-46,7,14
44,uclibc_2008-06-05_13-46-47,505,505
45,uclibc_2020-12-24_11-54-53,365,365
