instance_name,best_lower_bound,best_upper_bound,note
APL,7,7,"60min runtime, 60s iterations"
APL-Model,8,8,"60min runtime, 60s iterations"
BankingSoftware,28,29,"60min runtime, 60s iterations"
BattleofTanks,256,313,"60min runtime, 60s iterations"
ChatClient,7,7,"60min runtime, 60s iterations"
DMIE,16,16,"60min runtime, 60s iterations"
E-Shop,8,12,"60min runtime, 60s iterations"
EMBToolkit,1872,1872,"60min runtime, 60s iterations"
FameDB,8,8,"60min runtime, 60s iterations"
FeatureIDE,7,8,"60min runtime, 60s iterations"
FreeBSD-8_0_0,30,54,"60min runtime, 60s iterations"
PPU,12,12,"60min runtime, 60s iterations"
SafeBali,11,11,"60min runtime, 60s iterations"
SortingLine,9,9,"60min runtime, 60s iterations"
TightVNC,8,8,"60min runtime, 60s iterations"
Violet,15,17,"60min runtime, 60s iterations"
WaterlooGenerated,82,82,"60min runtime, 60s iterations"
XSEngine,32,40,"60min runtime, 60s iterations"
aaed2000,51,57,"60min runtime, 60s iterations"
am31_sim,28,38,"60min runtime, 60s iterations"
atlas_mips32_4kc,33,40,"60min runtime, 60s iterations"
axTLS,10,11,"60min runtime, 60s iterations"
berkeleyDB1,15,15,"60min runtime, 60s iterations"
berkeleyDB2,11,12,"60min runtime, 60s iterations"
busybox-1_18_0,12,18,"60min runtime, 60s iterations"
busybox-1_29_2,19,23,"60min runtime, 60s iterations"
busybox_2007-01-24_09-14-09,21,21,"60min runtime, 60s iterations"
busybox_2020-12-16_21-53-05,18,22,"60min runtime, 60s iterations"
calculate,5,5,"60min runtime, 60s iterations"
car,5,5,"60min runtime, 60s iterations"
dell,31,31,"60min runtime, 60s iterations"
eCos-3-0_i386pc,33,48,"60min runtime, 60s iterations"
ea2468,31,42,"60min runtime, 60s iterations"
email,6,6,"60min runtime, 60s iterations"
fiasco_2017-09-26_11-30-56,225,225,"60min runtime, 60s iterations"
fiasco_2020-12-01_14-09-14,196,196,"60min runtime, 60s iterations"
financial_services,4304,4363,"60min runtime, 60s iterations"
fs_2017-05-22,396,396,"60min runtime, 60s iterations"
gpl,16,16,"60min runtime, 60s iterations"
integrator_arm7,32,40,"60min runtime, 60s iterations"
lcm,6,6,"60min runtime, 60s iterations"
soletta_2015-06-26_18-38-56,24,24,"60min runtime, 60s iterations"
toybox_2006-10-31_23-30-06,8,8,"60min runtime, 60s iterations"
toybox_2020-12-06_00-02-46,7,13,"60min runtime, 60s iterations"
uclibc_2008-06-05_13-46-47,505,505,"60min runtime, 60s iterations"
uclibc_2020-12-24_11-54-53,365,365,"60min runtime, 60s iterations"
